5       2.789   0.595
6       4.58    1.017
7       6.395   1.57
8       7.899   2.223
9       10.49   3.826
10      14.857  6.702
11      17.926  7.263
12      18.615  7.841
13      23.428  10.412
14      27.496  12.301
15      30.652  13.163
16      36.785  17.114
17      42.084  19.775
18      46.455  18.967
19      57.55   26.187
20      62.056  30.475
21      71.918  29.254
22      77.304  31.385
23      84.54   38.073
24      96.652  39.566
25      106.702 46.49
26      113.953 46.236
27      123.521 52.025
28      152.063 72.176
29      155.529 62.81
30      179.868 66.401
31      169.617 69.628
32      202.771 72.683
33      234.488 98.081
34      224.862 77.789
35      236.919 76.507
36      260.786 97.747
37      295.048 112.132
38      301.358 118.331
39      345.274 125.155
40      360.234 127.923
